Timestamp,Please indicate your consent before proceeding: ,What is your gender?,What is your age?,How many years of ML/AI experience do you have?,"Here's the first picture that our algorithms should have classified. According to the heat maps which show the parts of the image that the algorithm relied on, which do you think is more likely to classify correctly?",What is the confidence level of your answer?,"According to the heat maps which show the parts of the image that the algorithm relied on, which do you think is more likely to classify correctly?",What is the confidence level of your answer?,"According to the heat maps which show the parts of the image that the algorithm relied on, which do you think is more likely to classify correctly?",What is the confidence level of your answer?,"According to the heat maps which show the parts of the image that the algorithm relied on, which do you think is more likely to classify correctly?",What is the confidence level of your answer?,"According to the heat maps which show the parts of the image that the algorithm relied on, which do you think is more likely to classify correctly?",What is the confidence level of your answer?,"According to the heat maps which show the parts of the image that the algorithm relied on, which do you think is more likely to classify correctly?",What is the confidence level of your answer?,"According to the heat maps which show the parts of the image that the algorithm relied on, which do you think is more likely to classify correctly?",What is the confidence level of your answer?,"According to the heat maps which show the parts of the image that the algorithm relied on, which do you think is more likely to classify correctly?",What is the confidence level of your answer?,"According to the heat maps which show the parts of the image that the algorithm relied on, which do you think is more likely to classify correctly?",What is the confidence level of your answer?,"According to the heat maps which show the parts of the image that the algorithm relied on, which do you think is more likely to classify correctly?",What is the confidence level of your answer?,"According to the heat maps which show the parts of the image that the algorithm relied on, which do you think is more likely to classify correctly?",What is the confidence level of your answer?,"According to the heat maps which show the parts of the image that the algorithm relied on, which do you think is more likely to classify correctly?",What is the confidence level of your answer?,"According to the heat maps which show the parts of the image that the algorithm relied on, which do you think is more likely to classify correctly?",What is the confidence level of your answer?,"According to the heat maps which show the parts of the image that the algorithm relied on, which do you think is more likely to classify correctly?",What is the confidence level of your answer?,"According to the heat maps which show the parts of the image that the algorithm relied on, which do you think is more likely to classify correctly?",What is the confidence level of your answer?,"According to the heat maps which show the parts of the image that the algorithm relied on, which do you think is more likely to classify correctly?",What is the confidence level of your answer?,Please enter your Prolific ID,"Write down any comment about your experience with this study, for example: how much time it took, if something was unclear, how frustrating it was, any feedback is appreciated! (Optional)"
2021/03/12 1:28:10 pm EET,"I consent, begin the study",Male,18-29,0,first algorithm,4,second algorithm,4,first algorithm,4,second algorithm,4,second algorithm,2,first algorithm,3,second algorithm,5,second algorithm,4,first algorithm,4,first algorithm,3,second algorithm,4,first algorithm,3,first algorithm,4,second algorithm,4,second algorithm,4,first algorithm,3,5b51d12c2272130001b60ade,
2021/03/12 1:28:28 pm EET,"I consent, begin the study",Female,18-29,0,first algorithm,1,second algorithm,2,second algorithm,1,first algorithm,1,second algorithm,1,second algorithm,2,first algorithm,1,first algorithm,2,second algorithm,1,second algorithm,1,first algorithm,2,second algorithm,2,second algorithm,1,first algorithm,1,second algorithm,2,first algorithm,2,5f11c12b2cd39e07d04bdb2e,
2021/03/12 1:29:05 pm EET,"I consent, begin the study",Male,18-29,1,first algorithm,5,second algorithm,5,first algorithm,4,second algorithm,4,first algorithm,3,first algorithm,4,second algorithm,3,second algorithm,5,first algorithm,4,second algorithm,4,second algorithm,4,second algorithm,4,second algorithm,5,second algorithm,4,second algorithm,5,second algorithm,4,5f7368c43a52e808ab00fe85,
2021/03/12 1:29:13 pm EET,"I consent, begin the study",Male,18-29,0,first algorithm,4,second algorithm,4,first algorithm,3,second algorithm,5,first algorithm,3,second algorithm,4,second algorithm,4,second algorithm,4,first algorithm,4,second algorithm,3,second algorithm,4,second algorithm,3,first algorithm,4,second algorithm,4,second algorithm,4,second algorithm,4,5e25529eab132b7bb83842f1,
2021/03/12 1:29:14 pm EET,"I consent, begin the study",Male,18-29,6,second algorithm,4,second algorithm,5,second algorithm,3,second algorithm,4,first algorithm,4,first algorithm,4,second algorithm,4,second algorithm,4,first algorithm,4,second algorithm,3,second algorithm,3,second algorithm,4,first algorithm,4,second algorithm,4,first algorithm,4,first algorithm,4,5f48e8a39ed8773c3ecd94f9,
2021/03/12 1:29:19 pm EET,"I consent, begin the study",Male,18-29,1,second algorithm,3,second algorithm,3,second algorithm,4,second algorithm,4,first algorithm,4,first algorithm,3,second algorithm,4,first algorithm,3,second algorithm,4,first algorithm,3,second algorithm,4,second algorithm,4,second algorithm,4,first algorithm,3,second algorithm,4,first algorithm,3,5eb399a140be6e18063981c3,
2021/03/12 1:29:51 pm EET,"I consent, begin the study",Female,18-29,5,second algorithm,3,second algorithm,3,first algorithm,4,second algorithm,4,first algorithm,4,second algorithm,3,second algorithm,3,first algorithm,3,second algorithm,3,second algorithm,4,second algorithm,4,first algorithm,3,first algorithm,4,second algorithm,4,second algorithm,4,second algorithm,3,60103f8e5231fb0c0f9b7f3f,
2021/03/12 1:30:03 pm EET,"I consent, begin the study",Female,18-29,4,first algorithm,4,second algorithm,3,first algorithm,3,second algorithm,3,first algorithm,5,second algorithm,3,second algorithm,2,second algorithm,3,first algorithm,4,second algorithm,2,second algorithm,5,first algorithm,3,first algorithm,3,second algorithm,4,second algorithm,4,second algorithm,5,5c3b3b9c717bc300010af5c8,
2021/03/12 1:30:15 pm EET,"I consent, begin the study",Female,18-29,0,second algorithm,2,second algorithm,2,first algorithm,1,first algorithm,1,first algorithm,2,first algorithm,3,second algorithm,3,second algorithm,1,first algorithm,1,second algorithm,1,second algorithm,3,second algorithm,1,first algorithm,3,second algorithm,4,first algorithm,1,second algorithm,2,5f92e940327ab10360f19b5a,
2021/03/12 1:30:17 pm EET,"I consent, begin the study",Female,18-29,0,first algorithm,3,second algorithm,3,first algorithm,3,second algorithm,3,first algorithm,2,second algorithm,4,second algorithm,3,second algorithm,4,first algorithm,3,first algorithm,2,second algorithm,3,second algorithm,2,first algorithm,1,second algorithm,2,second algorithm,2,second algorithm,2,5e67d5651cc12508054b02e7,
